BC Public Service Indicators of Progress,,,,
,,,,
,REG,REG,AUX,AUX
Year,2013,2015,2013,2015
Count_AllEmployees,,23747,,1262
Percent_Women_SeniorManagement,41.5,46.1,,
Percent_Women_AllOccupations,60.6,61.2,69.4,69.3
Percent_VisibleMinorities_AllOccupations,13.6,14,11.9,11.3
Percent_AboriginalPeoples_AllOccupations,3.1,3.1,3.8,3.4
Percent_PersonsWithDisabilities_AllOccupations,4.3,4,2.4,2.7
Count_Hired_Total,,4068,,961
Count_Hired_Women,,2683,,673
Count_Hired_VisibleMinorities,,588,,103
"Count_Hired_AboriginalPeoples
Hired",,126,,34
Count_Hired_PersonsWithDisabilities,,94,,25
