Flow Report for Aboriginal Peoples,,,,,,,
,,,,,,,
Type,Category,Aboriginal_Reg,NonAboriginal_Reg,TotalEmployees_Reg,Aboriginal_Aux,NonAboriginal_Aux,TotalEmployees_Aux
Employed,2013,718,22543,23261,39,988,1027
Employed,2015,747,23000,23747,43,1219,1262
Hiring_Outside,Count,108,3578,3686,34,927,961
Hiring_Outside,Proportion,2.930005426,97.06999457,100,3.53798127,96.46201873,100
Hiring_TotalNew,Count,108,3578,3686,34,927,961
Hiring_TotalNew,Proportion,2.930005426,97.06999457,100,3.53798127,96.46201873,100
Hiring_AuxtoReg,Count,18,364,382,,,
Hiring_AuxtoReg,Proportion,4.712041885,95.28795812,100,,,
Hiring_TotalReg,Count,126,3942,4068,,,
Hiring_TotalReg,Proportion,3.097345133,96.90265487,100,,,
Separations_BCPS,Count,100,3500,3600,9,317,326
Separations_BCPS,Proportion,2.777777778,97.22222222,100,2.760736196,97.2392638,100
Separations_Total,Count,100,3500,3600,9,317,326
Separations_Total,Proportion,2.777777778,97.22222222,100,2.760736196,97.2392638,100
Separations_AuxtoReg,Count,,,,18,364,382
Separations_AuxtoReg,Proportion,,,,4.712041885,95.28795812,100
Separations_TotalAux,Count,,,,27,681,708
Separations_TotalAux,Proportion,,,,3.813559322,96.18644068,100
Promotions_BCPS,Count,56,2036,2092,<3,<3,16
Promotions_BCPS,Proportion,2.676864245,97.32313576,100,<3,<3,100
Promotions_Other,Count,12,738,750,<3,<3,10
Promotions_Other,Proportion,1.6,98.4,100,<3,<3,100
Promotions_Total,Count,68,2774,2842,<3,<3,26
Promotions_Total,Proportion,2.39268121,97.60731879,100,<3,<3,100
