Flow Report for Visible Minorities,,,,,,,
,,,,,,,
Type,Category,VisibleMinorities_Reg,NonVisibleMinorities_Reg,TotalEmployees_Reg,VisibleMinorities_Aux,NonVisibleMinorities_Aux,TotalEmployees_Aux
Employed,2013,3172,20089,23261,122,905,1027
Employed,2015,3329,20418,23747,142,1120,1262
Hiring_Outside,Count,532,3154,3686,103,858,961
Hiring_Outside,Proportion,14.43298969,85.56701031,100,10.71800208,89.28199792,100
Hiring_TotalNew,Count,532,3154,3686,103,858,961
Hiring_TotalNew,Proportion,14.43298969,85.56701031,100,10.71800208,89.28199792,100
Hiring_AuxtoReg,Count,56,326,382,,,
Hiring_AuxtoReg,Proportion,14.65968586,85.34031414,100,,,
Hiring_TotalReg,Count,588,3480,4068,,,
Hiring_TotalReg,Proportion,14.45427729,85.54572271,100,,,
Separations_BCPS,Count,430,3170,3600,28,298,326
Separations_BCPS,Proportion,11.94444444,88.05555556,100,8.588957055,91.41104294,100
Separations_Total,Count,430,3170,3600,28,298,326
Separations_Total,Proportion,11.94444444,88.05555556,100,8.588957055,91.41104294,100
Separations_AuxtoReg,Count,,,,56,326,382
Separations_AuxtoReg,Proportion,,,,14.65968586,85.34031414,100
Separations_TotalAux,Count,,,,84,624,708
Separations_TotalAux,Proportion,,,,11.86440678,88.13559322,100
Promotions_BCPS,Count,280,1812,2092,<3,<3,16
Promotions_BCPS,Proportion,13.38432122,86.61567878,100,<3,<3,100
Promotions_Other,Count,111,639,750,<3,<3,10
Promotions_Other,Proportion,14.8,85.2,100,<3,<3,100
Promotions_Total,Count,391,2451,2842,<3,<3,26
Promotions_Total,Proportion,13.75791696,86.24208304,100,<3,<3,100
