Ministry_Key,Employee_Type,Employee_Count
AEST,ALL,357
AEST,AUX,22
AEST,REG,335
AG,ALL,3283
AG,AUX,161
AG,REG,3122
AGRI,ALL,326
AGRI,AUX,39
AGRI,REG,287
BCPS,ALL,27220
BCPS,AUX,1532
BCPS,REG,25688
BCPSA,ALL,513
BCPSA,AUX,33
BCPSA,REG,480
CFD,ALL,4577
CFD,AUX,322
CFD,REG,4255
CITZ,ALL,1682
CITZ,AUX,125
CITZ,REG,1557
EAO,ALL,86
EAO,AUX,6
EAO,REG,80
EDUC,ALL,354
EDUC,AUX,16
EDUC,REG,338
EMBC,ALL,173
EMBC,AUX,45
EMBC,REG,128
EMPR,ALL,311
EMPR,AUX,17
EMPR,REG,294
ENV,ALL,909
ENV,AUX,56
ENV,REG,853
FIN,ALL,1382
FIN,AUX,45
FIN,REG,1337
FLNRORD,ALL,3750
FLNRORD,AUX,239
FLNRORD,REG,3511
GCPE,ALL,300
GCPE,AUX,9
GCPE,REG,291
HLTH,ALL,1224
HLTH,AUX,51
HLTH,REG,1173
IRR,ALL,219
IRR,AUX,11
IRR,REG,208
JTT,ALL,355
JTT,AUX,21
JTT,REG,334
LBR,ALL,180
LBR,AUX,2
LBR,REG,178
MAH,ALL,393
MAH,AUX,24
MAH,REG,369
MHA,ALL,41
MHA,AUX,4
MHA,REG,37
PGT,ALL,261
PGT,AUX,26
PGT,REG,235
PO,ALL,52
PO,AUX,3
PO,REG,49
PSSG,ALL,3189
PSSG,AUX,135
PSSG,REG,3054
SDPR,ALL,1861
SDPR,AUX,25
SDPR,REG,1836
TAC,ALL,64
TAC,AUX,3
TAC,REG,61
TRAN,ALL,1378
TRAN,AUX,92
TRAN,REG,1286
